Name,Version,Summary / License
pandas-profiling,1.4.0,Generate profile report for pandas DataFrame / MIT License
pandasql,0.7.3,Sqldf for pandas / BSD
pandoc,1.19.2.1,Universal markup converter (repackaged binaries). / GPL-2.0
pandocfilters,1.4.2,A python module for writing pandoc filters / BSD-3-Clause
param,1.5.1,Declarative Python programming using Parameters / BSD
paramiko,2.4.0,SSH2 protocol library / LGPL 2.1
parso,0.1.1,A Python Parser / MIT License
partd,0.3.8,Data structure for on-disk shuffle operations / BSD 3-Clause
passlib,1.7.1,Password hashing library for Python / BSD
path.py,10.5,A module wrapper for os.path / MIT
pathlib,1.0.1,object-oriented filesystem paths / MIT
pathlib2,2.3.0,Fork of pathlib aiming to support the full stdlib Python API. / MIT
patsy,0.5.0,"Describing statistical models in Python using symbolic formulas / BSD-2-Clause, PSF2"
pcre,8.41,Regular expression pattern matching using the same syntax and semantics as Perl 5. / BSD 3-Clause
pep8,1.7.1,Python style guide checker / MIT
petl,1.1.1,"A Python package for extracting, transforming and loading tables of data. / MIT"
pexpect,4.3.1,Pexpect makes Python a better tool for controlling other applications. / ISC
phantomjs,2.1.1,Scriptable Headless WebKit / BSD
pickleshare,0.7.4,Tiny 'shelve'-like database with concurrency support / MIT
pillow,5.0.0,Pillow is the friendly PIL fork by Alex Clark and Contributors. / PIL
pip,9.0.1,PyPA recommended tool for installing Python packages / MIT
pivottablejs,2.7.0,PivotTable.js integration for Jupyter/IPython Notebook / MIT
pkginfo,1.4.1,Query metadatdata from sdists / bdists / installed packages. / MIT
plac,0.9.6,smart command line arguments parser / BSD
plotly,2.2.2,"An interactive, browser-based graphing library for Python / MIT"
pluggy,0.6.0,Plugin registration and hook calling for Python / MIT
ply,3.1,Python Lex-Yacc / BSD 3-clause
pomegranate,0.8.1,"Pomegranate is a graphical models library for Python, implemented in Cython for speed. / MIT"
portpicker,1.2.0,A library to choose unique available network ports. / Apache License 2.0
posix_ipc,1.0.0,POSIX IPC for Python / BSD
proj4,4.9.3,Cartographic projection software. / MIT
prompt_toolkit,1.0.15,Library for building powerful interactive command lines in Python / BSD 3-clause
protobuf,3.4.1,Protocol Buffers - Google's data interchange format / New BSD License
psutil,5.4.3,A cross-platform process and system utilities module for Python / BSD 3-Clause
psycopg2,2.7.3.2,"PostgreSQL database adapter for Python / LGPL, BSD-like, ZPL"
ptyprocess,0.5.2,Run a subprocess in a pseudo terminal / ISC
py,1.5.2,"library with cross-python path, ini-parsing, io, code, log facilities / MIT"
pyasn1,0.4.2,ASN.1 types and codecs / BSD 2-Clause
pyasn1-modules,0.0.8,A collection of ASN.1-based protocols modules. / BSD 2-Clause
pycodestyle,2.3.1,Python style guide checker / MIT
pycosat,0.6.3,Bindings to picosat (a SAT solver) / MIT
pycparser,2.18,Complete C99 parser in pure Python / BSD 3-clause
pycrypto,2.6.1,Cryptographic modules for Python. / Public Domain
pycurl,7.43.0.1,"A Python Interface To The cURL library / LGPL, MIT"
pyflakes,1.6.0,Pyflakes analyzes programs and detects various errors. / MIT
pygments,2.2.0,Generic syntax highlighting package / BSD 2-clause
pygpu,0.7.5,Library to manipulate arrays on GPU / ISC
pykerberos,1.1.14,high-level interface to Kerberos / Apache
pylint,1.8.2,python code static checker / GPL
pymc,2.3.6,Bayesian Stochastic Modelling in Python / Academic Free License
pymc3,3.2,Probabilistic Programming in Python. / Apache-2.0
pymongo,3.4.0,Python driver for MongoDB / Apache
pymysql,0.7.11,Pure-Python MySQL Driver / MIT
pyodbc,4.0.22,DB API Module for ODBC / MIT
pyopengl,3.1.1a1,Standard OpenGL bindings for Python / BSD
pyopengl-accelerate,3.1.1a1,Acceleration code for PyOpenGL / BSD
pyopenssl,17.5.0,Python wrapper module around the OpenSSL library / Apache 2.0
pyparsing,2.2.0,Create and execute simple grammars / MIT
pyproj,1.9.5.1,Python interface to PROJ4 library / MIT
pyqt,5.6.0,"Python binding of the cross-platform GUI toolkit Qt. / Commercial, GPL-2.0, GPL-3.0"
pyqtgraph,0.10.0,Scientific Graphics and GUI Library for Python / MIT
pysal,1.14.2,Library of spatial analysis functions. / BSD 3-Clause
pyserial,3.4,Python serial port access library / BSD-3-Clause
pysnmp,4.4.2,SNMP library for Python / BSD-2-Clause
pysocks,1.6.7,A Python SOCKS client module. See https://github.com/Anorov/PySocks for more information. / BSD 3-Clause
pystan,2.17.0.0,"Python interface to Stan, a package for Bayesian inference / GPLv3"
